No,Platform,Title,ClearTime
1,PS2,Tales of Symphonia,2856
2,PS2,Final Fantasy X,2794
3,PS2,OKAMI,2022
4,PS2,Grand Theft Auto San Andreas,1873
5,PS2,Deus Ex,1368
6,PS2,Grand Theft Auto Vice City,1093
7,PS2,Resident Evil 4,947
8,PS2,Grand Theft Auto III,913
9,PS2,Bully Scholarship Edition,882
10,PS2,LEGO Star Wars The Complete Saga,817
11,PS2,Tomb Raider Anniversary,757
12,PS2,Half-Life,730
13,PS2,Psychonauts,719
14,PS2,Hitman Blood Money,695
15,PS2,LEGO Batman The Videogame,598
16,PS2,Jak and Daxter The Precursor Legacy,589
17,PS2,God of War,548
18,PS2,Prince of Persia The Sands of Time,524
19,PS2,Max Payne,494
20,PS2,Star Wars Battlefront II,466
21,PS2,Syberia,448
22,PS2,Syberia II,448
23,PS2,Tomb Raider Legend,440
24,PS2,Max Payne 2: The Fall of Max Payne,386
25,PS2,Devil May Cry,380
26,PS3,Final Fantasy XIV,6687
27,PS3,Terraria,3061
28,PS3,Dragon's Dogma Dark Arisen,2078
29,PS3,Grand Theft Auto V,1940
30,PS3,Borderlands 2,1824
31,PS3,Fallout New Vegas,1649
32,PS3,Payday 2,1559
33,PS3,The Elder Scrolls V Skyrim - Special Edition,1557
34,PS3,Assassin's Creed II,1158
35,PS3,Far Cry 3,967
36,PS3,Batman Arkham City GOTY,838
37,PS3,Half-Life 2,787
38,PS3,Dishonored,734
39,PS3,BioShock,729
40,PS3,BioShock Infinite,707
41,PS3,Bayonetta,697
42,PS3,Tomb Raider,696
43,PS3,Batman Arkham Asylum GOTY,674
44,PS3,BioShock 2,650
45,PS3,Portal 2,531
46,PS3,Metal Gear Rising Revengeance,431
47,PS3,Hotline Miami,328
48,PS3,Limbo,219
49,PS3,Portal,193
50,PS4,Stardew Valley,3154
51,PS4,The Witcher 3 Wild Hunt,3141
52,PS4,Red Dead Redemption 2,2983
53,PS4,Metal Gear Solid V The Phantom Pain,2774
54,PS4,Final Fantasy VII Remake,1983
55,PS4,Horizon Zero Dawn - Complete Edition,1779
56,PS4,Hollow Knight,1671
57,PS4,Ghost of Tsushima,1486
58,PS4,Hades,1376
59,PS4,Nier: Automata,1276
60,PS4,God of War,1270
61,PS4,Star Wars Jedi Fallen Order,1031
62,PS4,Doom,714
63,PS4,Cuphead,644
64,PS4,Celeste,510
65,PS4,Teenage Mutant Ninja Turtles Shredder's Revenge,165
